"タイトル","出演","出演日","区分","曲順","作品マスタ","作品楽章マスタ"
"Sinfonietta pour orchestre, FP 141","オーケストラ・ポミエ 第8回演奏会 (https://www.notion.so/8-31f4532d7d5681f6b935d24d96f5ea58?pvs=21)","2022年9月3日","本編","4","",""
"L’Isle joyeuse, L. 106 (orch. Molinari)","オーケストラ・ポミエ 第9回演奏会 (https://www.notion.so/9-31f4532d7d5681f69b78c08475195655?pvs=21)","2023年10月1日","本編","1","",""
"ピアノと管絃楽のための「リトミカ・オスティナータ」 (revised 1971)","オーケストラ・ポミエ 第9回演奏会 (https://www.notion.so/9-31f4532d7d5681f69b78c08475195655?pvs=21)","2023年10月1日","本編","2","",""
"Chant de joie, H. 47","オーケストラ・ポミエ 第9回演奏会 (https://www.notion.so/9-31f4532d7d5681f69b78c08475195655?pvs=21)","2023年10月1日","本編","4","",""
"Symphony no. 4, op. 82","オーケストラ・ポミエ 第9回演奏会 (https://www.notion.so/9-31f4532d7d5681f69b78c08475195655?pvs=21)","2023年10月1日","本編","5","",""
"In the South (Alassio), op. 50","オーケストラ・ポミエ 第10回演奏会 (https://www.notion.so/10-31f4532d7d5681bf9c49e8d80e3717c5?pvs=21)","2025年10月11日","本編","1","",""
"La Mer, trois esquisses symphoniques pour orchestre, L. 109","オーケストラ・ポミエ 第10回演奏会 (https://www.notion.so/10-31f4532d7d5681bf9c49e8d80e3717c5?pvs=21)","2025年10月11日","本編","2","",""
"Shiruku rodo (The silk road) (Suite for Orchestra)","オーケストラ・ポミエ 第10回演奏会 (https://www.notion.so/10-31f4532d7d5681bf9c49e8d80e3717c5?pvs=21)","2025年10月11日","本編","3","",""
"Japanese Rhapsody","オーケストラ・ポミエ 第10回演奏会 (https://www.notion.so/10-31f4532d7d5681bf9c49e8d80e3717c5?pvs=21)","2025年10月11日","本編","4","",""
"Anniversary Fanfare","Osaka Pastoral Symphony Orchestra 第2回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-2-3204532d7d5680e09611d471a370fc4b?pvs=21)","2018年12月29日","本編","1","",""
"Orb and Sceptre","Osaka Pastoral Symphony Orchestra 第2回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-2-3204532d7d5680e09611d471a370fc4b?pvs=21)","2018年12月29日","本編","2","",""
"The Mystic Trumpeter, op. 18","Osaka Pastoral Symphony Orchestra 第2回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-2-3204532d7d5680e09611d471a370fc4b?pvs=21)","2018年12月29日","本編","3","",""
"Symphony no. 3 “A Pastoral Symphony”","Osaka Pastoral Symphony Orchestra 第2回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-2-3204532d7d5680e09611d471a370fc4b?pvs=21)","2018年12月29日","本編","4","",""
"Hymn-tune Prelude on Song 13 by Orlando Gibbons (arr. for string orchestra by Helen Glatz)","Osaka Pastoral Symphony Orchestra 第3回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-3-3204532d7d56804d8752c9d76a959397?pvs=21)","2020年2月23日","本編","1","",""
"Concertante for Orchestra with Piano (Left Hand), GP 378","Osaka Pastoral Symphony Orchestra 第3回演奏会 (https://www.notion.so/Osaka-Pastoral-Symphony-Orchestra-3-3204532d7d56804d8752c9d76a959397?pvs=21)","2020年2月23日","本編","2","",""
